set,target_name,instrument,provenance,filters_grating,observation_mode,exposure_time_s,proposal_id,proposal_pi,release_date,obs_id,obsid,calib_level,wavelength_region
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),40800.169,2454,"Gao, Peter",2024-05-31,jw02454001001_04101_00001-seg001_nrs2,140288107,2,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),40800.169,2454,"Gao, Peter",2024-05-31,jw02454001001_04101_00001-seg002_nrs2,140288108,2,INFRARED
JWST,HD-80606,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),62319.18,2488,"Sikora, James",2023-11-02,jw02488-o001_t001_nirspec_f290lp-g395h-s1600a1-sub2048,233641536,3,INFRARED
JWST,TOI-260,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),15472.908,2512,"Batalha, Natasha",2023-11-17,jw02512-o001_t001_nirspec_f290lp-g395h-s1600a1-sub2048,234371738,3,INFRARED
JWST,TOI-776,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),22957.704,2512,"Batalha, Natasha",2023-05-12,jw02512-o003_t005_nirspec_f290lp-g395h-s1600a1-sub2048,234335563,3,INFRARED
JWST,TOI-260,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),15472.908,2512,"Batalha, Natasha",2023-12-04,jw02512-o002_t001_nirspec_f290lp-g395h-s1600a1-sub2048,234358340,3,INFRARED
JWST,TOI-776,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),22957.704,2512,"Batalha, Natasha",2023-05-29,jw02512-o004_t005_nirspec_f290lp-g395h-s1600a1-sub2048,234229504,3,INFRARED
JWST,TOI-776,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),20760.432,2512,"Batalha, Natasha",2023-06-10,jw02512-o005_t005_nirspec_f290lp-g395h-s1600a1-sub2048,234351226,3,INFRARED
JWST,TOI-776,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),20760.432,2512,"Batalha, Natasha",2023-05-24,jw02512-o006_t005_nirspec_f290lp-g395h-s1600a1-sub2048,234367041,3,INFRARED
JWST,TOI-562,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),11909.106,2512,"Batalha, Natasha",2023-12-04,jw02512-o007_t006_nirspec_f290lp-g395h-s1600a1-sub2048,234368392,3,INFRARED
JWST,TOI-836,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),18279.03,2512,"Batalha, Natasha",2023-02-17,jw02512-o008_t007_nirspec_f290lp-g395h-s1600a1-sub2048,234340383,3,INFRARED
JWST,TOI-836,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),14230.854,2512,"Batalha, Natasha",2023-03-05,jw02512-o009_t007_nirspec_f290lp-g395h-s1600a1-sub2048,234370114,3,INFRARED
JWST,TOI-836,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),14230.854,2512,"Batalha, Natasha",2023-03-09,jw02512-o010_t007_nirspec_f290lp-g395h-s1600a1-sub2048,234368457,3,INFRARED
JWST,TOI-134,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),12119.272,2512,"Batalha, Natasha",2023-06-19,jw02512-o011_t008_nirspec_f290lp-g395h-s1600a1-sub2048,234345907,3,INFRARED
JWST,TOI-134,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),12119.272,2512,"Batalha, Natasha",2023-06-27,jw02512-o012_t008_nirspec_f290lp-g395h-s1600a1-sub2048,234367021,3,INFRARED
JWST,TOI-134,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),12119.272,2512,"Batalha, Natasha",2023-06-05,jw02512-o013_t008_nirspec_f290lp-g395h-s1600a1-sub2048,234366366,3,INFRARED
JWST,TOI-175,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),11946.088,2512,"Batalha, Natasha",2023-07-15,jw02512-o015_t003_nirspec_f290lp-g395h-s1600a1-sub2048,234366375,3,INFRARED
JWST,TOI-175,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),11946.088,2512,"Batalha, Natasha",2023-07-09,jw02512-o016_t003_nirspec_f290lp-g395h-s1600a1-sub2048,234246243,3,INFRARED
JWST,TOI-402,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),19844.0,2512,"Batalha, Natasha",2023-07-17,jw02512-o017_t016_nirspec_f290lp-g395h-s1600a1-sub2048,234313649,3,INFRARED
JWST,TOI-402,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),16791.632,2512,"Batalha, Natasha",2023-07-26,jw02512-o018_t016_nirspec_f290lp-g395h-s1600a1-sub2048,234311973,3,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),24536.551,2571,"Libby-Roberts, Jessica",2024-06-27,jw02571-o001_t001_nirspec_clear-prism-s1600a1-sub512,233637644,3,INFRARED
JWST,TOI-402,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),16791.632,2512,"Batalha, Natasha",2023-08-27,jw02512-o019_t016_nirspec_f290lp-g395h-s1600a1-sub2048,234352365,3,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),24536.551,2571,"Libby-Roberts, Jessica",2024-06-27,jw02571001001_04101_00001-seg003_nrs2,149795140,2,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),24536.551,2571,"Libby-Roberts, Jessica",2024-06-27,jw02571001001_04102_00001-seg003_nrs2,149795303,2,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),24536.551,2571,"Libby-Roberts, Jessica",2024-06-27,jw02571001001_04102_00001-seg001_nrs2,149936158,2,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),24536.551,2571,"Libby-Roberts, Jessica",2024-06-27,jw02571001001_04101_00001-seg002_nrs2,149892528,2,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),24536.551,2571,"Libby-Roberts, Jessica",2024-06-27,jw02571001001_04101_00001-seg001_nrs2,149880704,2,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),24536.551,2571,"Libby-Roberts, Jessica",2024-06-27,jw02571001001_04102_00001-seg002_nrs2,149893004,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),15085.324,2589,"Lim, Olivia",2022-07-18,jw02589-o006_t001_nirspec_clear-prism-s1600a1-sub512,233644256,3,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),15085.324,2589,"Lim, Olivia",2022-07-17,jw02589006001_04101_00001-seg002_nrs2,87631121,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),15085.324,2589,"Lim, Olivia",2022-07-18,jw02589006001_04101_00001-seg001_nrs2,87631125,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),15085.324,2589,"Lim, Olivia",2022-12-13,jw02589-o007_t001_nirspec_clear-prism-s1600a1-sub512,233637835,3,INFRARED
JWST,HATS-72,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),21691.296,2594,"Spake, Jessica",2024-11-15,jw02594-o001_t001_nirspec_f290lp-g395m-s1600a1-sub2048,233498618,3,INFRARED
