set,file_name,product_type,product_subgroup,calib_level,size_bytes,data_uri,parent_obsid
JWST,jw01633005001_04103_00001-seg002_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg002_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg003_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg003_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204966720,mast:JWST/product/jw01633005001_04103_00001-seg001_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg005_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg005_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg004_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg004_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg007_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg007_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg006_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg006_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg008_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg008_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg009_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg009_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg011_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg011_nrcalong_x1dints.fits,89785451
JWST,jw01633005001_04103_00001-seg010_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,204681600,mast:JWST/product/jw01633005001_04103_00001-seg010_nrcalong_x1dints.fits,89785451
JWST,jw01274001001_04103_00001-seg002_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,210110400,mast:JWST/product/jw01274001001_04103_00001-seg002_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,210110400,mast:JWST/product/jw01274001001_04103_00001-seg001_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg004_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,210110400,mast:JWST/product/jw01274001001_04103_00001-seg004_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg003_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,210110400,mast:JWST/product/jw01274001001_04103_00001-seg003_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg005_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,210110400,mast:JWST/product/jw01274001001_04103_00001-seg005_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg006_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,210110400,mast:JWST/product/jw01274001001_04103_00001-seg006_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg007_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,210110400,mast:JWST/product/jw01274001001_04103_00001-seg007_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg010_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,209825280,mast:JWST/product/jw01274001001_04103_00001-seg010_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg009_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,209825280,mast:JWST/product/jw01274001001_04103_00001-seg009_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg008_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,210110400,mast:JWST/product/jw01274001001_04103_00001-seg008_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg011_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,209825280,mast:JWST/product/jw01274001001_04103_00001-seg011_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg012_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,209825280,mast:JWST/product/jw01274001001_04103_00001-seg012_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg014_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,209825280,mast:JWST/product/jw01274001001_04103_00001-seg014_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg013_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,209825280,mast:JWST/product/jw01274001001_04103_00001-seg013_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg016_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,209825280,mast:JWST/product/jw01274001001_04103_00001-seg016_nrcalong_x1dints.fits,89908276
JWST,jw01274001001_04103_00001-seg015_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,209825280,mast:JWST/product/jw01274001001_04103_00001-seg015_nrcalong_x1dints.fits,89908276
JWST,jw01633-o005_t001_nircam_f444w-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,433527,mast:JWST/product/jw01633-o005_t001_nircam_f444w-grismr-subgrism64_whtlt.ecsv,89785451
JWST,jw01633-o005_t001_nircam_f444w-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,2251212480,mast:JWST/product/jw01633-o005_t001_nircam_f444w-grismr-subgrism64_x1dints.fits,89785451
JWST,jw01274-o001_t001_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,641525,mast:JWST/product/jw01274-o001_t001_nircam_f322w2-grismr-subgrism64_whtlt.ecsv,89908276
JWST,jw01274-o001_t001_nircam_f322w2-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,3358586880,mast:JWST/product/jw01274-o001_t001_nircam_f322w2-grismr-subgrism64_x1dints.fits,89908276
JWST,jw01633004001_04103_00001-seg002_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,214110720,mast:JWST/product/jw01633004001_04103_00001-seg002_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg003_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,214110720,mast:JWST/product/jw01633004001_04103_00001-seg003_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,214110720,mast:JWST/product/jw01633004001_04103_00001-seg001_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg004_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,214110720,mast:JWST/product/jw01633004001_04103_00001-seg004_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg005_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,214110720,mast:JWST/product/jw01633004001_04103_00001-seg005_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg006_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,214110720,mast:JWST/product/jw01633004001_04103_00001-seg006_nrcalong_x1dints.fits,90656322
JWST,jw01633004001_04103_00001-seg008_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,212112000,mast:JWST/product/jw01633004001_04103_00001-seg008_nrcalong_x1dints.fits,90656322
